"site.name","local.id","site.type","year","xcoord","ycoord","utm_zone","latitude","longitude","mean.coc","inv.cov","bryo.cov","strtol.cov","vmmi","vmmi.rating","vmmi.rating.orig","wetland","source"
"GRME06",221,"Intensive",2025,563011,4912923,"19N",44.3668459157113,-68.2091846880126,4.02857142857143,5,60,105.2,52.1180969925764,"Fair","Poor","Great Meadow","FOA"
"GRME07",217,"RAM",2024,563061,4912558,"19N",44.3635558135196,-68.2086014674007,4.01785714285714,0.1,60,103,54.0324428107564,"Fair","Fair","Great Meadow","FOA"
"GRME07",217,"RAM",2025,563061,4912558,"19N",44.3635558135196,-68.2086014674007,3.68478260869565,0.1,45,82.8,51.555447756414,"Fair","Poor","Great Meadow","FOA"
"GRME08",214,"RAM",2024,563371,4912986,"19N",44.36738,-68.20466,3.2071875,0.1,0.1,32.5,45.6489246267223,"Fair","Poor","Great Meadow","FOA"
"GRME08",214,"RAM",2025,563371,4912986,"19N",44.36738,-68.20466,3.76627906976744,0.1,0,45.7,46.866386158862,"Fair","Poor","Great Meadow","FOA"
"GRME09",216,"RAM",2024,562963,4912763,"19N",44.3654097530641,-68.2098064161728,3.78847826086957,3,35,119.1,42.5893112524628,"Fair","Poor","Great Meadow","FOA"
"GRME09",216,"RAM",2025,562963,4912763,"19N",44.3654097530641,-68.2098064161728,3.97872340425532,2,17,105.7,41.7770755293413,"Fair","Poor","Great Meadow","FOA"
"GRME10",220,"RAM",2024,563256,4912949,"19N",44.3670586406657,-68.2061069633001,4,0,0,77,43.0769292733335,"Fair","Poor","Great Meadow","FOA"
"GRME10",220,"RAM",2025,563256,4912949,"19N",44.3670586406657,-68.2061069633001,4.20789473684211,0,0,22.3,53.5776397931584,"Fair","Fair","Great Meadow","FOA"
"R-04",213,"RAM",2012,563269.166259,4913128.61634,"19N",44.3686744094638,-68.2059198900939,3.15294117647059,1,1,92.2,35.19173925277,"Poor","Poor","Great Meadow","NETN"
"R-04",213,"RAM",2017,563269.166259,4913128.61634,"19N",44.3686744094638,-68.2059198900939,3.39555555555556,1,1,111.1,33.5128166635784,"Poor","Poor","Great Meadow","NETN"
"R-04",213,"RAM",2022,563269.166259,4913128.61634,"19N",44.3686744094638,-68.2059198900939,3.17,0.1,1,112.2,32.225082571611,"Poor","Poor","Great Meadow","NETN"
"R-13",196,"RAM",2013,562796.77,4913159.71,"19N",44.3689953789024,-68.2118445385926,3.10322580645161,1,0.1,143.3,26.0490291046532,"Poor","Poor","Great Meadow","NETN"
"R-13",196,"RAM",2018,562796.77,4913159.71,"19N",44.3689953789024,-68.2118445385926,2.95952380952381,0.1,0.1,141.4,26.0302516027289,"Poor","Poor","Great Meadow","NETN"
"R-13",196,"RAM",2023,562796.77,4913159.71,"19N",44.3689953789024,-68.2118445385926,2.83280701754386,0.1,0.1,155.6,24.4891455376337,"Poor","Poor","Great Meadow","NETN"
"R-19",177,"RAM",2013,563192.502697,4912852.23499,"19N",44.3661930914957,-68.2069155630812,3.96521739130435,0,0,121.3,35.4008114206992,"Poor","Poor","Great Meadow","NETN"
"R-19",177,"RAM",2018,563192.502697,4912852.23499,"19N",44.3661930914957,-68.2069155630812,4.13392857142857,0.1,0,78.3,43.6553761425842,"Fair","Poor","Great Meadow","NETN"
"R-19",177,"RAM",2023,563192.502697,4912852.23499,"19N",44.3661930914957,-68.2069155630812,4.56521739130435,0,0,64.2,48.7364133899853,"Fair","Poor","Great Meadow","NETN"
"R-31",175,"RAM",2015,558067,4912529,"19N",44.3637117689864,-68.2712728020067,4.26341463414634,0,10,10.2,58.5022738297424,"Fair","Fair","Gilmore Meadow","NETN"
"R-31",175,"RAM",2020,558067,4912529,"19N",44.3637117689864,-68.2712728020067,4.05405405405405,0,12,3.4,58.858141581183,"Fair","Fair","Gilmore Meadow","NETN"
"R-31",175,"RAM",2025,558067,4912529,"19N",44.3637117689864,-68.2712728020067,4.08333333333333,0,16,12,58.60842115632,"Fair","Fair","Gilmore Meadow","NETN"
"NWCA-R304",NA,"SEN",2011,558039,4912418,"19N",44.36275,-68.27162,4.42,0,1.26,3.9,57.38588409,"Fair",NA,"Gilmore Meadow","NETN"
"NWCA-R304",NA,"SEN",2016,558039,4912418,"19N",44.36275,-68.27162,4.565217391,0,2.44,5.4,58.2417572,"Fair",NA,"Gilmore Meadow","NETN"
"NWCA-R304",NA,"SEN",2021,558039,4912418,"19N",44.36275,-68.27162,4.466666667,0,8.42,11.12,58.14050713,"Fair",NA,"Gilmore Meadow","NETN"
